Unnamed: 0,Unnamed: 0.1,Product Name,Product Page,Product Image,Category,Site,Price,Discount Price
26,,Armani Exchange  Men's Watch (AX1334),https://www.ishopping.pk/armani-exchange-mens-watch-ax1334-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_men_s_watch_ax1334_new.jpg,Armani Exchange,ishopping,23249,-1
3,,Armani Exchange Chronograph Men's Watch Brown (AX2612),https://www.ishopping.pk/armani-exchange-chronograph-mens-watch-ax2612-price-in-pakistan-269591.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_chronograph_men_s_watch_brown_ax2612_enw.jpg,Armani Exchange,ishopping,26999,-1
30,,Armani Exchange Dress Men's Watch (AX2332),https://www.ishopping.pk/armani-exchange-mens-watch-ax2332-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_dress_men_s_watch_ax2332_new.jpg,Armani Exchange,ishopping,25749,-1
27,,Armani Exchange Dress Men's Watch (AX2604),https://www.ishopping.pk/armani-exchange-mens-watch-ax2604-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_dress_men_s_watch_ax2604_.jpg,Armani Exchange,ishopping,19749,-1
4,,Armani Exchange Drexler Men's Watch Silver (AX2614),https://www.ishopping.pk/armani-exchange-drexler-mens-watch-ax2614-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_drexler_men_s_watch_silver_ax2614_new.jpg,Armani Exchange,ishopping,27249,-1
25,,Armani Exchange Enzo Men’s Watch (AX1813),https://www.ishopping.pk/armani-exchange-enzo-mens-watch-ax1813-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_enzo_men_s_watch_ax1813_.jpg,Armani Exchange,ishopping,36249,-1
21,,Armani Exchange Hampton Men’s Watch (AX2169),https://www.ishopping.pk/armani-exchange-hampton-mens-watch-ax2169.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_hampton_men_s_watch_ax2169_.jpg,Armani Exchange,ishopping,21249,-1
28,,Armani Exchange Men's Watch (AX1755),https://www.ishopping.pk/armani-exchange-mens-watch-ax1755-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_men_s_watch_ax1755_new.jpg,Armani Exchange,ishopping,18999,-1
32,,Armani Exchange Men's Watch (AX2098),https://www.ishopping.pk/armani-exchange-mens-watch-ax2098-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_men_s_watch_ax2098_new.jpg,Armani Exchange,ishopping,19499,-1
37,,Armani Exchange Men's Watch (AX2133),https://www.ishopping.pk/armani-exchange-mens-watch-ax2133-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_men_s_watch_ax2133_.jpg,Armani Exchange,ishopping,25299,-1
43,,Armani Exchange Men's Watch (AX2145),https://www.ishopping.pk/armani-exchange-mens-watch-ax2145-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_men_s_watch_ax2145_.jpg,Armani Exchange,ishopping,27799,-1
34,,Armani Exchange Men's Watch (AX2164),https://www.ishopping.pk/armani-exchange-mens-watch-ax2164-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_women_s_watch_ax2164_new.jpg,Armani Exchange,ishopping,20449,-1
33,,Armani Exchange Men's Watch (AX2402),https://www.ishopping.pk/armani-exchange-mens-watch-ax2402-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_men_s_watch_ax2402_new.jpg,Armani Exchange,ishopping,25749,-1
31,,Armani Exchange Men's Watch (AX2602),https://www.ishopping.pk/armani-exchange-mens-watch-ax2602-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_men_s_watch_ax2602_new.jpg,Armani Exchange,ishopping,25499,-1
29,,Armani Exchange Men's Watch (AX2613),https://www.ishopping.pk/armani-exchange-mens-watch-ax2613-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_men_s_watch_ax2613_new.jpg,Armani Exchange,ishopping,29499,-1
35,,Armani Exchange Men's Watch Black (AX1326),https://www.ishopping.pk/armani-exchange-mens-watch-black-ax1326-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/x/ax1326_5000.jpg,Armani Exchange,ishopping,13999,-1
11,,Armani Exchange Men's Watch Black (AX2620),https://www.ishopping.pk/armani-exchange-mens-watch-ax2620-price-in-pakistan-269500.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_men_s_watch_black_ax2620_new.jpg,Armani Exchange,ishopping,28999,-1
5,,Armani Exchange Men's Watch Black (AX2701),https://www.ishopping.pk/armani-exchange-mens-watch-ax2701-price-in-pakistan-269557.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_men_s_watch_black_ax2701_new.jpg,Armani Exchange,ishopping,23749,-1
6,,Armani Exchange Men's Watch Black (AX2703) ,https://www.ishopping.pk/armani-exchange-mens-watch-ax2703-price-in-pakistan-269565.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_men_s_watch_brown_ax2703_new.jpg,Armani Exchange,ishopping,19512,-1
9,,Armani Exchange Men's Watch Blue (AX2704),https://www.ishopping.pk/armani-exchange-mens-watch-ax2704-price-in-pakistan-269517.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_men_s_watch_blue_ax2704_new.jpg,Armani Exchange,ishopping,19749,-1
10,,Armani Exchange Men's Watch Blue (AX7107),https://www.ishopping.pk/armani-exchange-mens-watch-ax7107-price-in-pakistan-269514.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_men_s_watch_blue_ax7107_new.jpg,Armani Exchange,ishopping,23249,-1
7,,Armani Exchange Men's Watch Brown (AX2706),https://www.ishopping.pk/armani-exchange-mens-watch-ax2706-price-in-pakistan-269544.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_men_s_watch_brown_ax2706_new.jpg,Armani Exchange,ishopping,21249,-1
12,,Armani Exchange Men's Watch Gold (AX2619),https://www.ishopping.pk/armani-exchange-mens-watch-ax2619-price-in-pakistan-269489.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_men_s_watch_gold_ax2619_new.jpg,Armani Exchange,ishopping,32299,-1
8,,Armani Exchange Men's Watch Silver (AX2616),https://www.ishopping.pk/armani-exchange-mens-watch-ax2616-price-in-pakistan-269524.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_men_s_watch_silver_ax2616_new.jpg,Armani Exchange,ishopping,26999,-1
13,,Armani Exchange Men's Watch Silver (AX2618),https://www.ishopping.pk/armani-exchange-mens-watch-ax2618-price-in-pakistan-269480.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_men_s_watch_silver_ax2618_new.jpg,Armani Exchange,ishopping,23399,-1
22,,Armani Exchange Men’s Watch (AX2101),https://www.ishopping.pk/armani-exchange-mens-watch-ax2101-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_men_s_watch_ax2101_.jpg,Armani Exchange,ishopping,24499,-1
24,,Armani Exchange Men’s Watch (AX2103),https://www.ishopping.pk/armani-exchange-mens-watch-ax2103-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_men_s_watch_ax2103_.jpg,Armani Exchange,ishopping,23999,-1
23,,Armani Exchange Men’s Watch (AX2144),https://www.ishopping.pk/armani-exchange-mens-watch-ax2144-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_men_s_watch_ax2144_.jpg,Armani Exchange,ishopping,18999,-1
18,,Armani Exchange Men’s Watch (AX2308),https://www.ishopping.pk/armani-exchange-mens-watch-ax2308-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_men_s_watch_ax2308_.jpg,Armani Exchange,ishopping,25749,-1
17,,Armani Exchange Men’s Watch (AX2406),https://www.ishopping.pk/armani-exchange-mens-watch-ax2406-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_men_s_watch_ax2406__1.jpg,Armani Exchange,ishopping,28249,-1
19,,Armani Exchange Men’s Watch Black Leather (AX2182),https://www.ishopping.pk/armani-exchange-mens-watch-ax2182-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_men_s_watch_black_leather_ax2182_.jpg,Armani Exchange,ishopping,20999,-1
42,,Armani Exchange Metallic Mix Multifunction Men's Watch (AX2606),https://www.ishopping.pk/armani-exchange-mens-watch-ax2606-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_metallic_mix_multifunction_men_s_watch_ax2606_.jpg,Armani Exchange,ishopping,29049,-1
36,,Armani Exchange Signature Blue Sport Men's Watch (AX1327),https://www.ishopping.pk/armani-exchange-mens-watch-ax1327-price-in-pkaistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_signature_blue_sport_men_s_watch_ax1327_.jpg,Armani Exchange,ishopping,18849,-1
40,,Armani Exchange Stainless Steel Chronograph Men's Watch (AX2601),https://www.ishopping.pk/armani-exchange-mens-watch-ax2601-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_stailess_steel_chronograph_men_s_watch_ax2601_.jpg,Armani Exchange,ishopping,37999,-1
20,,Armani Exchange Street Men’s Watch (AX1455),https://www.ishopping.pk/armani-exchange-street-mens-watch-ax1455-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_street_men_s_watch_ax1455_.jpg,Armani Exchange,ishopping,17749,-1
38,,Armani Exchange Tactical Stripe Men’s Watch (AX2198),https://www.ishopping.pk/armani-exchange-mens-watch-ax2198-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_tactical_stripe_men_s_watch_ax2198_.jpg,Armani Exchange,ishopping,25249,-1
39,,Armani Exchange TriColor Strip Men's Watch (AX2197),https://www.ishopping.pk/armani-exchange-mens-watch-ax2197-price-in-pakistan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_tricolor_strip_men_s_watch_ax2197_.jpg,Armani Exchange,ishopping,25249,-1
41,,Armani Exchange Water Resistant Sport Men's Watch (AX1810),https://www.ishopping.pk/armani-exchange-mens-watch-ax1810-price-in-pakisstan.html,https://d11zer3aoz69xt.cloudfront.net/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/r/armani_exchange_water_resistant_sport_men_s_watch_ax1810_.jpg,Armani Exchange,ishopping,33249,-1
