,Category,Link
0,3D Printers,https://www.ishopping.pk/office-media/electronic-office-equipment/3d-printers.html
1,4K Smart LED TV,https://www.ishopping.pk/electronics/tv-s-and-entertainment/4k-smart-led-tv.html
2,A3 Paper,https://www.ishopping.pk/office-media/office-paper/a3-paper.html
3,A4 Paper,https://www.ishopping.pk/office-media/office-paper/a4-paper.html
4,Accessories,https://www.ishopping.pk/electronics/home-theater-system/accessories.html
5,Accessories,https://www.ishopping.pk/electronics/tv-s-and-entertainment/accessories.html
6,Accessories,https://www.ishopping.pk/health-beauty/makeup/accessories.html
7,Accessories,https://www.ishopping.pk/electronics/laptops-computers/accessories.html
8,Accurist,https://www.ishopping.pk/women-s-store/women-s-watches/accurist.html
9,Accurist,https://www.ishopping.pk/mens-store/men-s-watches/accurist.html
10,Action Figures & Collectibles,https://www.ishopping.pk/kids-store/kids-toys/action-figures-collectibles.html
11,Activity Trackers,https://www.ishopping.pk/electronics/wearable-gadgets/activity-trackers.html
12,Activity Sensor,https://www.ishopping.pk/health-beauty/health-care/activity-sensor.html
13,Adult Diaper,https://www.ishopping.pk/health-beauty/health-care/adult-diaper.html
14,Air Conditioners,https://www.ishopping.pk/home-and-living/home-appliances/air-conditioners.html
15,Al Fajr,https://www.ishopping.pk/mens-store/men-s-watches/al-fajr.html
16,Amplifiers & Receiver,https://www.ishopping.pk/electronics/home-theater-system/amplifiers-receiver.html
17,Anklets,https://www.ishopping.pk/women-s-store/women-s-jewellery/anklets.html
18,Antenna,https://www.ishopping.pk/office-media/networking/antenna.html
19,Ariel Imaging and Drone Cameras,https://www.ishopping.pk/electronics/cameras-camcorders/quad-copters.html
20,Armani Exchange,https://www.ishopping.pk/women-s-store/women-s-watches/armani-exchange.html
21,Armani Exchange,https://www.ishopping.pk/mens-store/men-s-watches/armani-exchange.html
22,Art Supplies,https://www.ishopping.pk/books/stationery-crafts/art-supplies.html
23,Artificial Flowers & Plants,https://www.ishopping.pk/home-and-living/home-decor/artificial-flowers-plants.html
24,Arts & Crafts for Kids,https://www.ishopping.pk/kids-store/kids-toys/arts-crafts-for-kids.html
25,Audemars Piguet,https://www.ishopping.pk/mens-store/men-s-watches/audemars-piguet.html
26,Audio Conferencing Systems,https://www.ishopping.pk/office-media/pro-audio/audio-conferencing-systems.html
27,August,https://www.ishopping.pk/mens-store/men-s-watches/august.html
28,Automotive & Cars,https://www.ishopping.pk/more-stores/automotive-motorcycles/automotive-cars.html
29,Automotive & Motorcycles,https://www.ishopping.pk/more-stores/automotive-motorcycles.html
30,Axcent,https://www.ishopping.pk/mens-store/men-s-watches/axcent.html
31,Babies Wear,https://www.ishopping.pk/kids-store/babies-wear.html
32,Baby & Toddler,https://www.ishopping.pk/kids-store/kids-toys/baby-toddler.html
33,Baby & Toddler Food,https://www.ishopping.pk/more-stores/grocer-s-shop/baby-toddler-food.html
34,Baby Bags,https://www.ishopping.pk/kids-store/baby-care/baby-bags.html
35,Baby Boy Clothing,https://www.ishopping.pk/kids-store/babies-wear/baby-boy-clothing.html
36,Baby Care,https://www.ishopping.pk/kids-store/baby-care.html
37,Baby Care,https://www.ishopping.pk/azadi-bazaar/kid-s-store/baby-care.html
38,Baby Girl Clothing,https://www.ishopping.pk/kids-store/babies-wear/baby-girl-clothing.html
39,Baby Personal Care,https://www.ishopping.pk/kids-store/baby-care/baby-personal-care.html
40,Backpacks,https://www.ishopping.pk/mens-store/men-s-accessories/backpacks.html
41,Bags,https://www.ishopping.pk/kids-store/kids-and-baby-accessories/bags.html
42,Bags,https://www.ishopping.pk/mens-store/men-s-accessories/bags.html
43,Bags,https://www.ishopping.pk/women-s-store/women-s-accessories/bags.html
44,Bakeware ,https://www.ishopping.pk/home-and-living/kitchen-dining/bakeware.html
45,Bath,https://www.ishopping.pk/home-and-living/bath.html
46,Bath,https://www.ishopping.pk/azadi-bazaar/home-and-kitchen-appliances/bath.html
47,Bathroom Accessories,https://www.ishopping.pk/home-and-living/bath/bathroom-accessories.html
48,Bathroom Fixtures ,https://www.ishopping.pk/more-stores/tools-home-improvement/bathroom-fixtures.html
49,Bathroom Scales,https://www.ishopping.pk/more-stores/weighing-scale/bathroom-scales.html
50,Batteries,https://www.ishopping.pk/home-and-living/ups-and-battery/batteries.html
51,Battery Chargers,https://www.ishopping.pk/home-and-living/ups-and-battery/battery-chargers.html
52,Bed Linen,https://www.ishopping.pk/home-and-living/bedding/bed-linen.html
53,Bedding,https://www.ishopping.pk/kids-store/baby-care/bedding.html
54,Bedding,https://www.ishopping.pk/home-and-living/bedding.html
55,Bedding Accessories,https://www.ishopping.pk/home-and-living/bedding/bedding-accessories.html
56,Bedroom Furniture,https://www.ishopping.pk/home-and-living/furniture/bedroom-furniture.html
57,Belts,https://www.ishopping.pk/women-s-store/women-s-accessories/belts.html
58,Belts ,https://www.ishopping.pk/mens-store/men-s-accessories/belts.html
59,Benyar,https://www.ishopping.pk/mens-store/men-s-watches/benyar.html
60,Besmed,https://www.ishopping.pk/more-stores/heating-blankets-pads/besmed.html
61,Beurer,https://www.ishopping.pk/more-stores/foot-warmer/beurer.html
62,Beurer,https://www.ishopping.pk/more-stores/heating-blankets-pads/beurer-heating-blankets.html
63,Black Oak,https://www.ishopping.pk/mens-store/men-s-watches/black-oak.html
64,Blankets & Quilts,https://www.ishopping.pk/home-and-living/bedding/blankets-quilt.html
65,Blenders & Mixers,https://www.ishopping.pk/home-and-living/kitchen-appliances/blenders.html
66,Blocks & Building Toys,https://www.ishopping.pk/kids-store/kids-toys/blocks-building-toys.html
67,Blood Glucose Monitors,https://www.ishopping.pk/health-beauty/health-care/blood-glucose-monitors.html
68,Body Analyzer,https://www.ishopping.pk/more-stores/weighing-scale/body-analyzer.html
69,Body Care,https://www.ishopping.pk/health-beauty/personal-care/body-care.html
70,Body Care,https://www.ishopping.pk/health-beauty/personal-care-53/body-care.html
71,Body Piercings,https://www.ishopping.pk/women-s-store/women-s-jewellery/body-piercings.html
72,Boilers & Purifiers,https://www.ishopping.pk/home-and-living/kitchen-appliances/boilers-purifiers.html
73,Books & Megazines,https://www.ishopping.pk/books/books-megazines.html
74,Books & Stationery,https://www.ishopping.pk/books.html
75,Boots,https://www.ishopping.pk/women-s-store/women-shoes/boots.html
76,Boots,https://www.ishopping.pk/mens-store/men-s-footwear/boots.html
77,Boy's Clothing,https://www.ishopping.pk/kids-store/boys-fashion-clothing/boys-clothing.html
78,Boy's Fashion,https://www.ishopping.pk/kids-store/boys-fashion-clothing.html
79,Boys Fashion,https://www.ishopping.pk/azadi-bazaar/kid-s-store/boys-fashion.html
80,BP Monitors,https://www.ishopping.pk/health-beauty/health-care/bp-monitor.html
81,Breitling,https://www.ishopping.pk/mens-store/men-s-watches/breitling.html
82,Brooch,https://www.ishopping.pk/women-s-store/women-s-accessories/brooch.html
83,Brooms Floor Brushes & Dustpans,https://www.ishopping.pk/home-and-living/household-supplies/brooms-floor-brushes-dustpans.html
84,Brush Sets,https://www.ishopping.pk/health-beauty/makeup/brush-sets.html
85,Burberry,https://www.ishopping.pk/women-s-store/women-s-watches/burberry.html
86,Cadisen ,https://www.ishopping.pk/mens-store/men-s-watches/cadisen.html
87,Cameras,https://www.ishopping.pk/azadi-bazaar/cameras-and-media-players/cameras.html
88,Cameras & Camcorders,https://www.ishopping.pk/electronics/cameras-camcorders.html
89,Cameras & Camcorders,https://www.ishopping.pk/clearance-sale-in-pakistan/cameras-camcorders.html
90,Cameras and Media Players,https://www.ishopping.pk/azadi-bazaar/cameras-and-media-players.html
91,Candles & Candle Holder,https://www.ishopping.pk/home-and-living/home-decor/candles-candle-holder.html
92,Canned & Packaged Foods,https://www.ishopping.pk/more-stores/grocer-s-shop/canned-packaged-foods.html
93,Car Charger,https://www.ishopping.pk/more-stores/travel-accessories/car-charger.html
94,Car Fans,https://www.ishopping.pk/more-stores/travel-accessories/car-fans.html
95,Cardio Training Equipment,https://www.ishopping.pk/more-stores/sports/cardio-training-equipment.html
96,Carmen,https://www.ishopping.pk/more-stores/foot-warmer/carmen.html
97,Carpets & Rugs,https://www.ishopping.pk/home-and-living/home-decor/carpets-rugs.html
98,Cartier,https://www.ishopping.pk/mens-store/men-s-watches/cartier.html
99,Cartier,https://www.ishopping.pk/women-s-store/women-s-watches/cartier.html
100,Casio,https://www.ishopping.pk/mens-store/men-s-watches/casio.html
101,Casio,https://www.ishopping.pk/women-s-store/women-s-watches/casio.html
102,Casual Shoes,https://www.ishopping.pk/mens-store/men-s-footwear/casual-shoes.html
103,Cate & Nelson,https://www.ishopping.pk/mens-store/men-s-watches/cate-nelson.html
104,Certeza,https://www.ishopping.pk/more-stores/heating-blankets-pads/certeza.html
105,Certina,https://www.ishopping.pk/mens-store/men-s-watches/certina.html
106,Champion,https://www.ishopping.pk/mens-store/men-s-watches/champion.html
107,Charms,https://www.ishopping.pk/women-s-store/women-s-jewellery/charms.html
108,Children’s Books,https://www.ishopping.pk/books/books-megazines/children-s-books.html
109,Chocolates & Desserts,https://www.ishopping.pk/more-stores/grocer-s-shop/chocolates-desserts.html
110,Choppers,https://www.ishopping.pk/home-and-living/kitchen-appliances/choppers.html
111,Christian Pual,https://www.ishopping.pk/mens-store/men-s-watches/christian-pual.html
112,Christian Pual,https://www.ishopping.pk/women-s-store/women-s-watches/christian-pual.html
113,Citizen,https://www.ishopping.pk/mens-store/men-s-watches/citizen-in-pakistan.html
114,Citizen,https://www.ishopping.pk/women-s-store/women-s-watches/citizen.html
115,Clearance Sale,https://www.ishopping.pk/clearance-sale-in-pakistan.html
116,Clocks ,https://www.ishopping.pk/home-and-living/home-decor/clocks.html
117,Coach,https://www.ishopping.pk/women-s-store/women-s-watches/coach.html
118,Coach,https://www.ishopping.pk/mens-store/men-s-watches/coach.html
119,Coat Racks & Umbrella Stands,https://www.ishopping.pk/home-and-living/home-storage-supplies/coat-racks-umbrella-stands.html
120,Coffee Tea & Espresso,https://www.ishopping.pk/home-and-living/kitchen-appliances/coffee-tea-and-espresso.html
121,Concealer,https://www.ishopping.pk/health-beauty/makeup/concealer.html
122,Console Accessories,https://www.ishopping.pk/electronics/video-games-consoles/consoles-accessories.html
123,Consoles By Brands,https://www.ishopping.pk/electronics/video-games-consoles/consoles-by-brands.html
124,Consumer Camcorders,https://www.ishopping.pk/electronics/cameras-camcorders/camcorders.html
125,Cooking Appliances,https://www.ishopping.pk/clearance-sale-in-pakistan/home-living/cooking-appliances.html
126,Cooking Essentials,https://www.ishopping.pk/more-stores/grocer-s-shop/cooking-essentials.html
127,Cookware ,https://www.ishopping.pk/home-and-living/kitchen-dining/cookware.html
128,Cordless,https://www.ishopping.pk/homepage/cordless.html
129,Covers & Cases,https://www.ishopping.pk/more-stores/lifestyle-accessories/covers-cases.html
130,Crown Micro,https://www.ishopping.pk/home-and-living/inverter/crown-micro.html
131,Curren,https://www.ishopping.pk/mens-store/men-s-watches/curren.html
132,"Curtains, Blinds & Shades",https://www.ishopping.pk/home-and-living/home-decor/curtains-blinds-shades.html
133,Curved LED TV,https://www.ishopping.pk/electronics/tv-s-and-entertainment/curved-led.html
134,Daniel Klein,https://www.ishopping.pk/women-s-store/women-s-watches/daniel-klein.html
135,Daniel Klein,https://www.ishopping.pk/mens-store/men-s-watches/daniel-klein.html
136,Daniel Wellington,https://www.ishopping.pk/mens-store/men-s-watches/daniel-wellington.html
137,Daniel Wellington,https://www.ishopping.pk/women-s-store/women-s-watches/denil-wellington.html
138,Dany,https://www.ishopping.pk/mens-store/men-s-watches/dany.html
139,Deal Of The Week ,https://www.ishopping.pk/discounts-zone/deal-of-the-week.html
140,Decorative Cushion Inserts & Covers,https://www.ishopping.pk/home-and-living/home-decor/decorative-cushion-inserts-covers.html
141,Decorative Wall & Ceiling Lights,https://www.ishopping.pk/home-and-living/lighting/decorative-wall-ceiling-lights.html
142,Deer Fun,https://www.ishopping.pk/mens-store/men-s-watches/deer-fun.html
143,Designer's Wear Un-Stitched,https://www.ishopping.pk/women-s-store/women-s-clothing/designer-wear-un-stitched.html
144,Desktops & Workstations,https://www.ishopping.pk/electronics/laptops-computers/desktop.html
145,Diagnostic Scale,https://www.ishopping.pk/more-stores/weighing-scale/diagnostic-scale.html
146,Diapers and Wipes,https://www.ishopping.pk/kids-store/baby-care/diapers-and-wipes.html
147,Diesel ,https://www.ishopping.pk/mens-store/men-s-watches/diesel.html
148,Diesel,https://www.ishopping.pk/women-s-store/women-s-watches/diesel.html
149,Digital Cameras,https://www.ishopping.pk/electronics/cameras-camcorders/digital-cameras.html
150,Digital Paper,https://www.ishopping.pk/office-media/electronic-office-equipment/digital-paper.html
151,Dishwashers,https://www.ishopping.pk/home-and-living/kitchen-appliances/dish-washers.html
152,Dishwashing & Bottle Brushes,https://www.ishopping.pk/home-and-living/household-supplies/dishwashing-bottle-brushes.html
153,DKNY,https://www.ishopping.pk/women-s-store/women-s-watches/dkny.html
154,Dolls & Accessories,https://www.ishopping.pk/kids-store/kids-toys/dolls-accessories.html
155,Door Bell,https://www.ishopping.pk/more-stores/tools-home-improvement/door-bell.html
156,DVD Players,https://www.ishopping.pk/electronics/home-theater-system/dvd-players.html
157,EcoStar,https://www.ishopping.pk/home-and-living/inverter/ecostar.html
158,Electric Cookers,https://www.ishopping.pk/home-and-living/kitchen-appliances/cooker.html
159,Electric Kettles,https://www.ishopping.pk/home-and-living/kitchen-appliances/electric-kettles.html
160,Electrical Extension Boards & Cables,https://www.ishopping.pk/more-stores/tools-home-improvement/electrical-extension-board-cables.html
161,Electronic Office Equipment,https://www.ishopping.pk/office-media/electronic-office-equipment.html
162,Electronics,https://www.ishopping.pk/electronics.html
163,Emporio Armani,https://www.ishopping.pk/women-s-store/women-s-watches/emporio-armani.html
164,Emporio Armani,https://www.ishopping.pk/mens-store/men-s-watches/emporio-armani.html
165,Empress,https://www.ishopping.pk/women-s-store/women-s-watches/empress.html
166,English Books,https://www.ishopping.pk/books/books-megazines/english-books.html
167,Enviro,https://www.ishopping.pk/home-and-living/inverter/enviro.html
168,Exercise & Fitness,https://www.ishopping.pk/more-stores/sports/exercise-fitness.html
169,External Drives,https://www.ishopping.pk/office-media/memory-storage/external-drives.html
170,Eyes,https://www.ishopping.pk/health-beauty/makeup/eyes.html
171,Eyewear,https://www.ishopping.pk/women-s-store/women-s-accessories/eyewear.html
172,EyeWear,https://www.ishopping.pk/mens-store/men-s-accessories/eyewear.html
173,Face,https://www.ishopping.pk/health-beauty/makeup/face.html
174,Feeding,https://www.ishopping.pk/kids-store/baby-care/feeding.html
175,Fidget Spinners,https://www.ishopping.pk/kids-store/kids-toys/fidget-spinners.html
176,Fingerprint Attendance,https://www.ishopping.pk/office-media/office-equipment/fingerprint-attendance.html
177,Firewall & Security Devices,https://www.ishopping.pk/office-media/networking/firewall-security-devices.html
178,Flash Drives,https://www.ishopping.pk/office-media/memory-storage/flash-drives.html
179,Flats & Sandals,https://www.ishopping.pk/women-s-store/women-shoes/flats-sandals.html
180,Fly Swatters,https://www.ishopping.pk/home-and-living/household-supplies/fly-swatters.html
181,Folding Bags,https://www.ishopping.pk/more-stores/travel-accessories/folding-bags.html
182,Food Factories,https://www.ishopping.pk/home-and-living/kitchen-appliances/food-processors.html
183,Food Steamers,https://www.ishopping.pk/home-and-living/kitchen-appliances/food-steamers.html
184,Foot Warmer,https://www.ishopping.pk/azadi-bazaar/more-store/foot-warmer.html
185,Foot Warmer,https://www.ishopping.pk/more-stores/foot-warmer.html
186,Formal Shoes,https://www.ishopping.pk/mens-store/men-s-footwear/formal-shoes.html
187,Forsining,https://www.ishopping.pk/mens-store/men-s-watches/forsining.html
188,Fossil,https://www.ishopping.pk/mens-store/men-s-watches/fossil-in-pakistan.html
189,Fossil,https://www.ishopping.pk/women-s-store/women-s-watches/fossil-in-pakistan.html
190,Foundation,https://www.ishopping.pk/health-beauty/makeup/foundation.html
191,Freezers,https://www.ishopping.pk/home-and-living/home-appliances/freezers.html
192,French Connection,https://www.ishopping.pk/women-s-store/women-s-watches/french-connection.html
193,Frozen Desserts,https://www.ishopping.pk/more-stores/grocer-s-shop/frozen-desserts.html
194,Fryers,https://www.ishopping.pk/home-and-living/kitchen-appliances/fryers.html
195,Furniture,https://www.ishopping.pk/home-and-living/furniture.html
196,Gaming and Accessories,https://www.ishopping.pk/azadi-bazaar/gaming-and-accessories.html
197,Gardening & Hose Pipes,https://www.ishopping.pk/home-and-living/lawn-garden/gardening-hose-pipes.html
198,Gears,https://www.ishopping.pk/kids-store/baby-care/gears.html
199,Generators,https://www.ishopping.pk/home-and-living/home-appliances/generators.html
200,Geysers,https://www.ishopping.pk/home-and-living/home-appliances/geysers.html
201,Gift Cards & Tags,https://www.ishopping.pk/books/stationery-crafts/gift-cards-tags.html
202,Gifts ,https://www.ishopping.pk/more-stores/lifestyle-accessories/gifts.html
203,Girl's Fashion,https://www.ishopping.pk/kids-store/girls-fashion.html
204,Girls Clothing,https://www.ishopping.pk/kids-store/girls-fashion/girls-clothing.html
205,Girls Fashion,https://www.ishopping.pk/azadi-bazaar/kid-s-store/girls-fashion.html
206,Girls' Accessories,https://www.ishopping.pk/kids-store/girls-fashion/girls-accessories.html
207,Glass Bathroom Scales,https://www.ishopping.pk/more-stores/weighing-scale/glass-bathroom-scales.html
208,Gloves,https://www.ishopping.pk/women-s-store/women-s-accessories/gloves.html
209,Gloves,https://www.ishopping.pk/mens-store/men-s-accessories/gloves.html
210,Gloves,https://www.ishopping.pk/kids-store/kids-and-baby-accessories/gloves.html
211,Glucose Monitor Pins,https://www.ishopping.pk/health-beauty/health-care/glucose-monitor-pins.html
212,Glucose Strips,https://www.ishopping.pk/health-beauty/health-care/glucose-strips.html
213,Go Girl Only,https://www.ishopping.pk/women-s-store/women-s-watches/go-girl-only.html
214,Graphics Tablet,https://www.ishopping.pk/office-media/electronic-office-equipment/graphics-tablet.html
215,Grilling & BBQ Utensils,https://www.ishopping.pk/home-and-living/kitchen-dining/grilling-bbq-utensils.html
216,Grills,https://www.ishopping.pk/home-and-living/kitchen-appliances/grills.html
217,Grocer's Shop,https://www.ishopping.pk/more-stores/grocer-s-shop.html
218,Grocery Shopping,https://www.ishopping.pk/kids-store/kids-toys/grocery-shopping.html
219,Guess,https://www.ishopping.pk/mens-store/men-s-watches/guess.html
220,Guess,https://www.ishopping.pk/women-s-store/women-s-watches/guess.html
221,Guitars,https://www.ishopping.pk/more-stores/musical-instruments/guitars.html
222,Hair Care,https://www.ishopping.pk/health-beauty/personal-care-53/hair-care.html
